Nº Ejemplar (Guía);Código;Nombre Singular (Guía);Especie Científica;Emplazamiento (Guía);Barrio;Distrito;Altura Guía (m);Perímetro Guía (cm);Idx DB Recomendado;Idx DB Elegido (RELLENAR/CONFIRMAR);Tipo Coincidencia;Candidatos en DB (Alternativas)
41;P23;El Brachichito de los Jardines;Brachychiton acerifolius;Jardines del Valle;Santa Catalina;Casco Antiguo;11;98;94903;;DUDOSO (11 candidatos);"Idx 94903 (H: 3.0m, Pos: 37.384106, -5.987077); Idx 129022 (H: 5.0m, Pos: 37.376755, -5.992515); Idx 129076 (H: 5.0m, Pos: 37.378496, -5.993573); Idx 129112 (H: 5.0m, Pos: 37.37901, -5.99388); Idx 162099 (H: 14.0m, Pos: 37.3954, -5.983275)"
42;P23;La Bauhinia candida de los Jardines;Bauhinia forficata Link;Jardines del Valle;Santa Catalina;Casco Antiguo;9;79;11854;;DUDOSO (16 candidatos);"Idx 11854 (H: 5.5m, Pos: 37.380403, -5.989108); Idx 117722 (H: 7.0m, Pos: 37.38036, -5.989138); Idx 148249 (H: 5.0m, Pos: 37.37973, -5.989541); Idx 148250 (H: 6.5m, Pos: 37.379872, -5.989461); Idx 148251 (H: 6.5m, Pos: 37.37981, -5.989491)"
43;M08;Scheflera del Lope de Vega;Schefflera actinophylla;Frente al Teatro Lope de Vega;Antiguos Jardines de San Telmo, espacio de la Madrina;Casco Antiguo;10;192;193607,193608,193609,193610,193612,193619,193620;193607,193608,193609,193610,193612,193619,193620;GRUPO (ARBOLEDA);"Idx 193607 (H: 12.0m); Idx 193608 (H: 6.0m); Idx 193609 (H: 10.0m); Idx 193610 (H: 9.0m); Idx 193612 (H: 5.0m); Idx 193619 (H: 10.0m); Idx 193620 (H: 10.0m)"
44;U10;El Caobo del Celestino;Swietenia mahagoni;Jardines de Celestino Mutis;La Oliva;Sur;6;120;;MANUAL;SIN CANDIDATOS EN CENSO;No se encontraron árboles de esta especie en la zona.
45;L07;Los Ficus de la Avenida de;Ficus macrophylla Desf;Avenida de María Luisa;Santa Cruz;Casco Antiguo;27;660;91676;;DUDOSO (10 candidatos);"Idx 91676 (H: 12.0m, Pos: 37.377302, -5.991775); Idx 91682 (H: 12.0m, Pos: 37.377322, -5.991818); Idx 93533 (H: 18.0m, Pos: 37.380665, -5.99248); Idx 128942 (H: 26.0m, Pos: 37.376676, -5.99121); Idx 128994 (H: 25.0m, Pos: 37.37615, -5.99147)"
46;M19;Los Ficus de la Plaza Cristo;Ficus macrophylla Desf;Plaza del Cristo de Burgos;Alfalfa;Casco Antiguo;28;720;161313,161315,161332,161333;161313,161315,161332,161333;GRUPO (ARBOLEDA);"Idx 161313 (H: 30.0m); Idx 161315 (H: 31.0m); Idx 161332 (H: 33.0m); Idx 161333 (H: 32.0m)"
47;M03;Los Plátanos Pabellón de Guatemala;Platanus x hispanica Mill;Jardines de las Delicias, junto al Pabellón de Guatemala;Parque de María Luisa;Sur;15;212;60260;;DUDOSO (11 candidatos);"Idx 60260 (H: 9.0m, Pos: 37.376502, -5.984668); Idx 60263 (H: 8.0m, Pos: 37.376296, -5.984743); Idx 60468 (H: 8.0m, Pos: 37.377858, -5.984164); Idx 60469 (H: 8.0m, Pos: 37.377878, -5.984234); Idx 60470 (H: 15.0m, Pos: 37.377904, -5.984357)"
48;U16;Las Washingtonias de Su Eminencia;Washingtonia robusta H;Carretera de Su Eminencia;Polígono Sur;Sur;19.6;125;114382;114382;UNICO SEGURO;Idx: 114382 (H: 23.0m, Pos: 37.375546, -5.98594)
49;N10;Las Jacarandas de la Pasarela;Jacaranda mimosifolia D;Plaza de D. Juan de Austria, Pasarela;Santa Cruz, San Bernardo y Prado de San Sebastián;Casco Antiguo, Nervión y Sur;15.6;200;11871;;DUDOSO (630 candidatos);"Idx 11871 (H: 14.0m, Pos: 37.38094, -5.989052); Idx 11876 (H: 12.5m, Pos: 37.381044, -5.989114); Idx 59863 (H: 11.0m, Pos: 37.380764, -5.987641); Idx 59864 (H: 11.0m, Pos: 37.38078, -5.987696); Idx 59865 (H: 10.5m, Pos: 37.380793, -5.987747)"
50;N13;Los Ficus de Jardines de Murillo;Ficus macrophylla Desf;Jardines de Murillo;Santa Cruz;Casco Antiguo;42;100;91676;;DUDOSO (10 candidatos);"Idx 91676 (H: 12.0m, Pos: 37.377302, -5.991775); Idx 91682 (H: 12.0m, Pos: 37.377322, -5.991818); Idx 93533 (H: 18.0m, Pos: 37.380665, -5.99248); Idx 128942 (H: 26.0m, Pos: 37.376676, -5.99121); Idx 128994 (H: 25.0m, Pos: 37.37615, -5.99147)"
51;L08;Las Grevilleas de la Alberca;Grevillea robusta A;Jardines de San Telmo (La Madrina);Santa Cruz;Casco Antiguo;27.3;242;147982;;DUDOSO (14 candidatos);"Idx 147982 (H: 18.0m, Pos: 37.378826, -5.992076); Idx 147997 (H: 18.0m, Pos: 37.37881, -5.992112); Idx 148009 (H: 18.0m, Pos: 37.378802, -5.992079); Idx 148010 (H: 16.0m, Pos: 37.379495, -5.991028); Idx 148066 (H: 16.0m, Pos: 37.379544, -5.991739)"
52;G20;Los Ficus de la Plaza del Museo;Ficus macrophylla Desf;Plaza del Museo;Centro;Casco Antiguo;21;940;91676;;DUDOSO (17 candidatos);"Idx 91676 (H: 12.0m, Pos: 37.377302, -5.991775); Idx 91682 (H: 12.0m, Pos: 37.377322, -5.991818); Idx 93533 (H: 18.0m, Pos: 37.380665, -5.99248); Idx 128942 (H: 26.0m, Pos: 37.376676, -5.99121); Idx 128994 (H: 25.0m, Pos: 37.37615, -5.99147)"
53;J14;Las Palmeras del Archivo de;Phoenix canariensis hort;Entorno del Archivo de Indias;Santa Cruz;Casco Antiguo;14.5;238;;MANUAL;SIN CANDIDATOS EN CENSO;No se encontraron árboles de esta especie en la zona.
54;Q02;Los Eucaliptos de la Calle Ifni;Eucalyptus camaldulensis Dehnh;Primer tramo de la calle Ifni;Heliópolis;Bellavista La Palmera;30;240;7065;;DUDOSO (45 candidatos);"Idx 7065 (H: 17.0m, Pos: 37.353667, -5.978794); Idx 7066 (H: 17.0m, Pos: 37.353737, -5.978844); Idx 7067 (H: 16.0m, Pos: 37.353804, -5.97889); Idx 7068 (H: 18.0m, Pos: 37.353878, -5.978928); Idx 7069 (H: 17.0m, Pos: 37.353943, -5.978968)"
55;J10;Los Plátanos los Jardines de;Platanus x hispanica Mill;Jardines de Cristina;Santa Cruz;Casco Antiguo;25;490;;MANUAL;SIN CANDIDATOS EN CENSO;No se encontraron árboles de esta especie en la zona.
56;M09;Los Ficus del Lope de Vega;Ficus microcarpa L;Jardines del Lope de Vega, zona de La Madrina;Santa Cruz;Casco Antiguo;34;570;96538;;DUDOSO (11 candidatos);"Idx 96538 (H: 13.0m, Pos: 37.388051, -5.994177); Idx 96547 (H: 14.0m, Pos: 37.38807, -5.993914); Idx 119708 (H: 12.0m, Pos: 37.39406, -5.986038); Idx 119709 (H: 12.5m, Pos: 37.394033, -5.986662); Idx 148039 (H: 20.0m, Pos: 37.379455, -5.991606)"
57;;Los árboles del del Parque de;Cercis siliquastrum L;Parque de María Luisa, Plaza de América;Prado, Parque de María Luisa;Sur;10;200;151969;;DUDOSO (257 candidatos);"Idx 151969 (H: 6.5m, Pos: 37.370364, -5.989034); Idx 152106 (H: 4.5m, Pos: 37.371371, -5.990507); Idx 152123 (H: 10.0m, Pos: 37.374023, -5.99091); Idx 152170 (H: 2.5m, Pos: 37.371824, -5.989745); Idx 152174 (H: 2.0m, Pos: 37.371884, -5.989898)"
58;L04;Los Ombús del Parque de las;Phytolacca dioica L;Jardines de las Delicias junto al Pabellón de Guatemala;Parque de María Luisa;Sur;12;1167;151740;;DUDOSO (64 candidatos);"Idx 151740 (H: 9.0m, Pos: 37.373178, -5.990866); Idx 151743 (H: 12.0m, Pos: 37.374249, -5.991155); Idx 151744 (H: 12.0m, Pos: 37.37414, -5.991119); Idx 151745 (H: 11.0m, Pos: 37.374048, -5.991084); Idx 151755 (H: 12.0m, Pos: 37.373757, -5.990994)"
59;O02;Las Jacarandas la Plaza de América;Jacaranda mimosifolia D;Parque de María Luisa ante el Pabellón Real;Prado, Parque de María Luisa;Sur;17;350;11871;;DUDOSO (311 candidatos);"Idx 11871 (H: 14.0m, Pos: 37.38094, -5.989052); Idx 11876 (H: 12.5m, Pos: 37.381044, -5.989114); Idx 59863 (H: 11.0m, Pos: 37.380764, -5.987641); Idx 59864 (H: 11.0m, Pos: 37.38078, -5.987696); Idx 59865 (H: 10.5m, Pos: 37.380793, -5.987747)"
60;;Las Araucarias de los Hermanos;Araucaria bidwilii Hook;Parque de María Luisa, Glorieta de los Hermanos Machado;Prado, Parque de María Luisa;Sur;34;300;151630;;DUDOSO (5 candidatos);"Idx 151630 (H: 5.5m, Pos: 37.37223, -5.990206); Idx 152119 (H: 15.0m, Pos: 37.371964, -5.990281); Idx 159329 (H: 20.0m, Pos: 37.371646, -5.986851); Idx 159542 (H: 10.0m, Pos: 37.376428, -5.990584); Idx 159561 (H: 6.0m, Pos: 37.376109, -5.990633)"
61;;Los Naranjos de Sevilla;Citrus aurantium L;Toda la ciudad;Casi todos los barrios;Todos;7;145;;MANUAL;SIN CANDIDATOS EN CENSO;No se encontraron árboles de esta especie en la zona.
